datetime,precip
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.008
2022-01-09,0.172
2022-01-10,0.017
2022-01-11,0.055
2022-01-12,0.93
2022-01-13,0.875
2022-01-14,0.355
2022-01-15,0.05
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.188
2022-01-23,0.06275
2022-01-24,0.825
2022-01-25,0.44999999999999996
2022-01-26,0.45
2022-01-27,1.525
2022-01-28,0.525
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.025
2022-02-02,0.0
2022-02-03,0.00875
2022-02-04,7.85
2022-02-05,5.2
2022-02-06,5.5
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.01975
2022-02-10,0.076
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.001
2022-02-20,2.026
2022-02-21,0.3
2022-02-22,0.225
2022-02-23,0.025
2022-02-24,0.052000000000000005
2022-02-25,1.425
2022-02-26,0.07500000000000001
2022-02-27,0.027000000000000003
2022-02-28,0.3
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.07500000000000001
2022-03-25,0.47500000000000003
2022-03-26,0.8250000000000001
2022-03-27,2.075
2022-03-28,0.375
2022-03-29,0.3
2022-03-30,2.4749999999999996
2022-03-31,3.5
2022-04-01,4.525
2022-04-02,0.675
2022-04-03,3.2
2022-04-04,1.65
2022-04-05,0.05
2022-04-06,0.05
2022-04-07,0.0
2022-04-08,0.025
2022-04-09,0.075
2022-04-10,1.9
2022-04-11,1.375
2022-04-12,1.175
2022-04-13,2.575
2022-04-14,4.5
2022-04-15,0.375
2022-04-16,8.525
2022-04-17,6.2
2022-04-18,0.9
2022-04-19,3.0
2022-04-20,5.025
2022-04-21,1.525
2022-04-22,2.925
2022-04-23,1.275
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.125
2022-04-28,0.075
2022-04-29,6.1000000000000005
2022-04-30,7.5
2022-05-01,4.85
2022-05-02,9.851
2022-05-03,13.600000000000001
2022-05-04,5.151
2022-05-05,4.0
2022-05-06,2.6999999999999997
2022-05-07,1.225
2022-05-08,0.175
2022-05-09,3.125
2022-05-10,27.375
2022-05-11,11.45
2022-05-12,11.1
2022-05-13,14.850000000000001
2022-05-14,12.025
2022-05-15,3.375
2022-05-16,8.0
2022-05-17,1.025
2022-05-18,7.675
2022-05-19,13.075
2022-05-20,3.5
2022-05-21,5.657
2022-05-22,1.75
2022-05-23,2.275
2022-05-24,2.305
2022-05-25,3.975
2022-05-26,2.026
2022-05-27,3.7750000000000004
2022-05-28,2.228
2022-05-29,5.975
2022-05-30,2.126
2022-05-31,5.6
2022-06-01,4.375
2022-06-02,5.5
2022-06-03,9.625
2022-06-04,17.65
2022-06-05,3.675
2022-06-06,6.699999999999999
2022-06-07,3.4749999999999996
2022-06-08,3.225
2022-06-09,15.025
2022-06-10,12.175
2022-06-11,4.175000000000001
2022-06-12,1.6749999999999998
2022-06-13,5.41425
2022-06-14,6.9910000000000005
2022-06-15,11.162
2022-06-16,31.1265
2022-06-17,39.205999999999996
2022-06-18,20.59525
2022-06-19,9.129999999999999
2022-06-20,12.945749999999999
2022-06-21,4.15575
2022-06-22,5.259
2022-06-23,8.63225
2022-06-24,5.255
2022-06-25,4.178
2022-06-26,6.095
2022-06-27,6.654999999999999
2022-06-28,7.08
2022-06-29,9.84875
2022-06-30,6.53125
2022-07-01,5.175
2022-07-02,2.7647500000000003
2022-07-03,2.7249999999999996
2022-07-04,1.34725
2022-07-05,1.35
2022-07-06,3.3110000000000004
2022-07-07,1.647
2022-07-08,1.67875
2022-07-09,0.56375
2022-07-10,1.654
2022-07-11,1.0985
2022-07-12,0.3135
2022-07-13,2.46475
2022-07-14,0.7195
2022-07-15,2.94475
2022-07-16,0.369
2022-07-17,1.61075
2022-07-18,4.10775
2022-07-19,9.43
2022-07-20,32.74525
2022-07-21,7.676
2022-07-22,3.9452499999999997
2022-07-23,3.4315
2022-07-24,10.9345
2022-07-25,4.61525
2022-07-26,3.052
2022-07-27,0.7757499999999999
2022-07-28,3.5785
2022-07-29,7.811
2022-07-30,5.273750000000001
2022-07-31,8.184
2022-08-01,7.826
2022-08-02,5.4115
2022-08-03,7.2292499999999995
2022-08-04,2.354
2022-08-05,3.68125
2022-08-06,5.25825
2022-08-07,5.2124999999999995
2022-08-08,8.0495
2022-08-09,4.571
2022-08-10,19.59025
2022-08-11,13.05975
2022-08-12,1.8232499999999998
2022-08-13,3.519
2022-08-14,6.4895
2022-08-15,1.83225
2022-08-16,1.813
2022-08-17,0.20275
2022-08-18,4.1305
2022-08-19,5.2255
2022-08-20,2.025
2022-08-21,1.2715
2022-08-22,0.722
2022-08-23,15.340250000000001
2022-08-24,2.12675
2022-08-25,0.30525
2022-08-26,0.52125
2022-08-27,3.71125
2022-08-28,7.177250000000001
2022-08-29,3.48
2022-08-30,1.3847500000000001
2022-08-31,3.45425
2022-09-01,5.809
2022-09-02,8.2275
2022-09-03,9.865499999999999
2022-09-04,13.97175
2022-09-05,9.797500000000001
2022-09-06,10.49775
2022-09-07,0.742
2022-09-08,2.9415
2022-09-09,2.389
2022-09-10,6.22525
2022-09-11,15.15775
2022-09-12,49.7195
2022-09-13,31.53425
2022-09-14,12.02025
2022-09-15,8.72425
2022-09-16,8.30025
2022-09-17,3.99475
2022-09-18,2.826
2022-09-19,5.917000000000001
2022-09-20,1.60175
2022-09-21,4.21975
2022-09-22,5.101
2022-09-23,4.569
2022-09-24,9.065000000000001
2022-09-25,1.8099999999999998
2022-09-26,3.9975
2022-09-27,8.201
2022-09-28,3.652
2022-09-29,1.95
2022-09-30,0.075
2022-10-01,1.476
2022-10-02,14.404
2022-10-03,13.850000000000001
2022-10-04,5.59525
2022-10-05,3.76775
2022-10-06,3.33
2022-10-07,0.19775
2022-10-08,2.557
2022-10-09,2.4862499999999996
2022-10-10,4.16875
2022-10-11,18.871750000000002
2022-10-12,16.37
2022-10-13,7.52575
2022-10-14,3.0
2022-10-15,0.7000000000000001
2022-10-16,0.0435
2022-10-17,0.0395
2022-10-18,0.0
2022-10-19,0.2
2022-10-20,0.0
2022-10-21,0.0
2022-10-22,0.0
2022-10-23,0.825
2022-10-24,77.225
2022-10-25,9.325
2022-10-26,0.07500000000000001
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.05
2022-11-07,0.05
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.001
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,0.22499999999999998
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.0
2023-03-08,0.0
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,0.30000000000000004
2023-03-16,3.8519999999999994
2023-03-17,3.037
2023-03-18,0.481
2023-03-19,10.26475
2023-03-20,5.885
2023-03-21,3.077
2023-03-22,0.85
2023-03-23,0.42500000000000004
2023-03-24,0.1
2023-03-25,0.09999999999999999
2023-03-26,0.751
2023-03-27,0.75
2023-03-28,2.55
2023-03-29,2.925
2023-03-30,1.475
2023-03-31,16.029
2023-04-01,3.15
2023-04-02,1.775
2023-04-03,0.225
2023-04-04,0.025
2023-04-05,1.427
2023-04-06,0.601
2023-04-07,0.0
2023-04-08,0.001
2023-04-09,0.001
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.025
2023-04-19,0.0
2023-04-20,0.031
2023-04-21,5.407
2023-04-22,1.154
2023-04-23,0.3655
2023-04-24,0.2
2023-04-25,0.025
2023-04-26,0.004
2023-04-27,0.848
2023-04-28,0.987
2023-04-29,2.202
2023-04-30,0.791
2023-05-01,3.8327500000000003
2023-05-02,0.029
2023-05-03,2.06575
2023-05-04,2.008
2023-05-05,2.377
2023-05-06,0.8
2023-05-07,0.003
2023-05-08,0.001
2023-05-09,0.0
2023-05-10,0.2
2023-05-11,0.025
2023-05-12,0.3
2023-05-13,0.75
2023-05-14,0.001
2023-05-15,0.6
2023-05-16,4.6499999999999995
2023-05-17,16.475
2023-05-18,6.8
2023-05-19,17.0
2023-05-20,4.4750000000000005
2023-05-21,8.625
2023-05-22,1.151
2023-05-23,6.05
2023-05-24,1.2
2023-05-25,5.6
2023-05-26,1.2819999999999998
2023-05-27,3.1590000000000003
2023-05-28,0.001
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.325
2023-06-02,0.0
2023-06-03,0.55
2023-06-04,0.758
2023-06-05,0.0
2023-06-06,0.175
2023-06-07,0.175
2023-06-08,0.025
2023-06-09,2.575
2023-06-10,5.625
2023-06-11,8.9
2023-06-12,0.95
2023-06-13,2.8789999999999996
2023-06-14,3.004
2023-06-15,14.801
2023-06-16,10.625
2023-06-17,33.291
2023-06-18,15.625
2023-06-19,30.176
2023-06-20,6.3
2023-06-21,34.525
2023-06-22,10.11825
2023-06-23,4.8885000000000005
2023-06-24,4.206
2023-06-25,4.6015
2023-06-26,12.481250000000001
2023-06-27,15.96325
2023-06-28,11.550749999999999
2023-06-29,16.23875
2023-06-30,14.357000000000001
2023-07-01,11.458499999999999
2023-07-02,10.393
2023-07-03,8.105500000000001
2023-07-04,8.70575
2023-07-05,10.85825
2023-07-06,9.3375
2023-07-07,14.379
2023-07-08,5.804
2023-07-09,6.48525
2023-07-10,11.6115
2023-07-11,8.114
2023-07-12,10.55875
2023-07-13,13.89075
2023-07-14,15.869
2023-07-15,4.491750000000001
2023-07-16,3.241
2023-07-17,4.89925
2023-07-18,0.998
2023-07-19,1.05275
2023-07-20,0.8079999999999999
2023-07-21,8.068999999999999
2023-07-22,1.71725
2023-07-23,1.6862500000000002
2023-07-24,3.64025
2023-07-25,3.4925
2023-07-26,8.211
2023-07-27,7.42325
2023-07-28,5.41375
2023-07-29,3.00175
2023-07-30,3.4105
2023-07-31,6.011
2023-08-01,8.7545
2023-08-02,5.72325
2023-08-03,6.992500000000001
2023-08-04,11.548
2023-08-05,12.678
2023-08-06,39.4035
2023-08-07,26.265
2023-08-08,8.381
2023-08-09,5.58
2023-08-10,8.448
2023-08-11,6.453
2023-08-12,18.979
2023-08-13,54.946999999999996
2023-08-14,19.599
2023-08-15,8.155
2023-08-16,6.56775
2023-08-17,5.41675
